ID,Department,BasicSalary,Type,Factor/Wage/Percent,Hours/Sales
1819,QA,34115.43322915547,Manager,1.8485359570728155
9251,QA,43384.26126605105,WageEmployee,209.31189346441266,156
6746,QA,27892.84760257096,WageEmployee,187.56434551451576,45
8434,QA,29990.181926932393,WageEmployee,239.2845528020564,140
2499,QA,26671.079090785104,WageEmployee,259.5654538264762,192
6772,QA,33392.32828669512,WageEmployee,56.49329731011003,127
2912,QA,32729.937609790188,WageEmployee,171.90765509045664,187
5383,QA,17714.292026723746,WageEmployee,184.15791621478584,147
6833,QA,49882.6266532929,WageEmployee,46.13441340469467,128
8328,QA,29224.44703800371,WageEmployee,103.2200314197119,48
1185,QA,16404.200879856704,WageEmployee,282.7553290528641,112
2993,Development,25860.639260623055,Manager,2.6500871539737645
9659,Development,8490.692324314296,WageEmployee,88.81730913101993,109
4256,Development,47447.076344105204,WageEmployee,253.8031065463077,9
5989,Development,18660.841065378387,WageEmployee,207.88500734765336,91
9850,Development,35401.6150179758,WageEmployee,83.0145813630279,163
6340,Development,49258.42408906443,WageEmployee,84.91963395483731,143
8322,Development,26792.24158625396,WageEmployee,173.47122562946961,27
5630,Development,41227.54940984705,WageEmployee,166.7635873972971,152
7176,Development,17831.589496313904,WageEmployee,271.82583116515616,56
7992,Development,29216.314322832746,WageEmployee,236.55741105809773,136
1382,Development,16792.144815870786,WageEmployee,37.53630913068118,128
5395,Development,9518.227858351369,WageEmployee,89.92967716690924,158
6423,Development,21626.439089658157,WageEmployee,250.1971341847249,12
9641,Development,9240.123514629544,WageEmployee,156.74692349079947,85
6850,Development,38363.57598866605,WageEmployee,191.93113742245504,41
1799,Development,43566.19449338592,WageEmployee,238.95368987893758,117
3718,Development,19682.39399028176,WageEmployee,200.94013277468108,29
6862,Development,27901.36910332658,WageEmployee,293.1456644746539,118
5095,Development,18080.621543084224,WageEmployee,126.38307842060549,144
5918,Development,35645.69561293652,WageEmployee,202.0124667774648,93
4529,Development,6569.2701437335945,WageEmployee,98.40372286642163,113
7492,Development,33758.509132745254,WageEmployee,158.44862346040188,175
7712,Development,28135.825796778114,WageEmployee,52.856177829579856,41
9144,Development,7922.58094730544,WageEmployee,292.5293792167085,35
8008,Development,12698.843839916184,WageEmployee,220.0983132609472,64
4674,Development,21491.76414839717,WageEmployee,90.53248443966075,21
9232,Development,20577.54559870241,WageEmployee,30.192009343688483,38
7827,Development,36900.193916452,WageEmployee,153.3882510011138,23
1119,Development,48827.06673558042,WageEmployee,96.54965684738919,3
9447,Development,5398.26458318577,WageEmployee,74.27052394950448,140
3502,Development,32144.134490127988,WageEmployee,112.1138893680426,139
1895,Devops,28853.451028461513,Manager,2.2610536327403805
2433,Sales,27943.326197220325,Manager,2.1272558166608424
